Collection,Hadith Number,Narrated By,Hadith Text,Pillar
bukhari,73,Narrated Al-Bara:,"The Prophet (ﷺ) said (on the day of Idal-Adha), ""The first thing we will do on this day of ours, is to offer 
the (`Id) prayer and then return to slaughter the sacrifice. Whoever does so, he acted according to our 
Sunna (tradition), and whoever slaughtered (the sacrifice) before the prayer, what he offered was just 
meat he presented to his family, and that will not be considered as Nusak (sacrifice)."" (On hearing 
that) Abu Burda bin Niyar got up, for he had slaughtered the sacrifice before the prayer, and said, ""I 
have got a six month old ram."" The Prophet (ﷺ) said, 'Slaughter it (as a sacrifice) but it will not be 
sufficient for any-one else (as a sacrifice after you). Al-Bara' added: The Prophet (ﷺ) said, ""Whoever 
slaughtered (the sacrifice) after the prayer, he slaughtered it at the right time and followed the tradition 
of the Muslims.""",Salat
bukhari,74,Narrated Ibn `Umar:,"Allah's Messenger (ﷺ) said, ""Whoever drinks alcoholic drinks in the world and does not repent (before 
dying), will be deprived of it in the Hereafter.""",Uncategorized
bukhari,75,Narrated `Aisha:,"(the wife of the Prophet) Allah's Messenger (ﷺ) said, ""No calamity befalls a Muslim but that Allah expiates 
some of his sins because of it, even though it were the prick he receives from a thorn.""",Uncategorized
bukhari,76,Narrated Abu Huraira:,"The Prophet (ﷺ) said, ""There is no disease that Allah has created, except that He also has created its 
treatment.""",Uncategorized
bukhari,77,Narrated `Abdullah bin `Umar:,"Allah's Messenger (ﷺ) said, 'Allah will not look at the person who drags his garment (behind him) out of 
conceit.''",Uncategorized
bukhari,78,Narrated Al-Walid bin 'Aizar:,"I heard Abi `Amr 'Ash-Shaibani saying, ""The owner of this house."" he pointed to `Abdullah's house, 
""said, 'I asked the Prophet (ﷺ) 'Which deed is loved most by Allah?"" He replied, 'To offer prayers at their 
early (very first) stated times.' "" `Abdullah asked, ""What is the next (in goodness)?"" The Prophet (ﷺ) said, 
""To be good and dutiful to one's parents,"" `Abdullah asked, ""What is the next (in goodness)?"" The 
Prophet (ﷺ) said, ""To participate in Jihad for Allah's Cause."" `Abdullah added, ""The Prophet (ﷺ) narrated to me 
these three things, and if I had asked more, he would have told me more.""",Salat
bukhari,79,Narrated Abu Huraira:,"The Prophet (ﷺ) said, ""Allah created Adam in His picture, sixty cubits (about 30 meters) in height. When 
He created him, He said (to him), ""Go and greet that group of angels sitting there, and listen what they 
will say in reply to you, for that will be your greeting and the greeting of your offspring."" Adam (went 
and) said, 'As-Salamu alaikum (Peace be upon you).' They replied, 'AsSalamu-'Alaika wa 
Rahmatullah (Peace and Allah's Mercy be on you) So they increased 'Wa Rahmatullah' The Prophet (ﷺ) 
added 'So whoever will enter Paradise, will be of the shape and picture of Adam Since then the 
creation of Adam's (offspring) (i.e. stature of human beings is being diminished continuously) to the 
present time.""",Uncategorized
bukhari,80,Narrated Abu Huraira:,"Allah's Messenger (ﷺ) said, ""For every prophet there is one (special 
     invocation (that will not be rejected) with which he appeals (to 
     Allah), and I want to keep such an invocation for interceding for my 
     followers in the Hereafter.""",Uncategorized
bukhari,81,Narrated Ibn `Abbas:,"The Prophet (ﷺ) said: ""There are two blessings that many people are deceived into losing: health and free time.""",Uncategorized
bukhari,82,Narrated `Abdullah:,"Allah's Messenger (ﷺ), the truthful and truly-inspired, said, ""Each one of you collected in the womb of his 
mother for forty days, and then turns into a clot for an equal period (of forty days) and turns into a 
piece of flesh for a similar period (of forty days) and then Allah sends an angel and orders him to 
write four things, i.e., his provision, his age, and whether he will be of the wretched or the blessed (in 
the Hereafter). Then the soul is breathed into him. And by Allah, a person among you (or a man) may 
do deeds of the people of the Fire till there is only a cubit or an arm-breadth distance between him and 
the Fire, but then that writing (which Allah has ordered the angel to write) precedes, and he does the 
deeds of the people of Paradise and enters it; and a man may do the deeds of the people of Paradise till 
there is only a cubit or two between him and Paradise, and then that writing precedes and he does the 
deeds of the people of the Fire and enters it.""",Uncategorized
bukhari,83,Narrated `Aisha:,"Abu Bakr As-Siddiq had never broken his oaths till Allah revealed the expiation for the oaths. Then he 
said, ""If I take an oath to do something and later on I find something else better than the first one, then 
I do what is better and make expiation for my oath.""",Uncategorized
bukhari,84,Narrated Ka`b bin 'Ujra:,"I came to the Prophet (ﷺ) and he said to me, ""Come near."" So I went near to him and he said, ""Are your 
lice troubling you?"" I replied, ""Yes."" He said, ""(Shave your head and) make expiation in the form of 
fasting, Sadaqa (giving in charity), or offering a sacrifice."" (The sub-narrator) Aiyub said, ""Fasting 
should be for three days, and the Nusuk (sacrifice) is to be a sheep, and the Sadaqa is to be given to 
six poor persons.""",Zakat
bukhari,85,Narrated Jabir bin `Abdullah:,"I became sick so Allah's Messenger (ﷺ) and Abu Bakr came on foot to pay me a visit. When they came, I was 
unconscious. Allah's Messenger (ﷺ) performed ablution and he poured over me the water (of his ablution) 
and I came to my senses and said, ""O Allah's Messenger (ﷺ)! What shall I do regarding my property? How 
shall I distribute it?"" The Prophet (ﷺ) did not reply till the Divine Verses of inheritance were revealed .",Uncategorized
bukhari,86,Narrated Abu Huraira:,"Allah's Messenger (ﷺ) said, ""When an adulterer commits illegal sexual intercourse, then he is not a believer 
at the time he is doing it; and when somebody drinks an alcoholic drink, then he is not believer at the 
time of drinking, and when a thief steals, he is not a believer at the time when he is stealing; and when 
a robber robs and the people look at him, then he is not a believer at the time of doing it."" Abu Huraira 
in another narration, narrated the same from the Prophet (ﷺ) with the exclusion of robbery.",Uncategorized
bukhari,87,Narrated `Abdullah:,"A man said, ""O Allah's Messenger (ﷺ)! Which sin is the greatest in Allah's Sight?"" The Prophet (ﷺ) said, ""To set 
up a rival unto Allah though He Alone created you . "" The man said, ""What is next?"" The Prophet (ﷺ) 
said, ""To kill your son lest he should share your food with you."" The man said, ""What is next?"" The 
Prophet said, ""To commit illegal sexual intercourse with the wife of your neighbor."" So Allah 
revealed in confirmation of this narration:-- 
'And those who invoke not with Allah, any other god. Nor kill, such life as Allah has forbidden except 
for just cause nor commit illegal sexual intercourse. And whoever does this shall receive the 
punishment.' (25.68)",Uncategorized
bukhari,88,Narrated `Abdullah:,"When the Verse: 'It is those who believe and confuse not their belief with wrong (i.e., worshipping 
others besides Allah): (6.82) was revealed, it became very hard on the companions of the Prophet (ﷺ) and 
they said, ""Who among us has not confused his belief with wrong (oppression)?"" On that, Allah's 
Apostle said, ""This is not meant (by the Verse). Don't you listen to Luqman's statement: 'Verily! 
Joining others in worship with Allah is a great wrong indeed.' (31.13)",Shahada
bukhari,89,Narrated Abi Huraira:,"The Prophet (ﷺ) used to invoke Allah in his prayer, ""O Allah! Save `Aiyash bin Abi Rabi`a and Salama 
bin Hisham and Al-Walid bin Al-Walid; O Allah! Save the weak among the believers; O Allah! Be 
hard upon the tribe of Mudar and inflict years (of famine) upon them like the (famine) years of 
Joseph.""",Salat
bukhari,90,Narrated `Umar bin Al-Khattab:,"The Prophet (ﷺ) said, 'O people! The reward of deeds depends upon the intentions, and every person will 
get the reward according to what he has intended. So, whoever emigrated for Allah and His Apostle, 
then his emigration was for Allah and His Apostle, and whoever emigrated to take worldly benefit or 
for a woman to marry, then his emigration was for what he emigrated for.""",Uncategorized
bukhari,91,Narrated `Aisha:,"The commencement of the Divine Inspiration to Allah's Messenger (ﷺ) was in the form of good righteous 
(true) dreams in his sleep. He never had a dream but that it came true like bright day light. He used to 
go in seclusion (the cave of) Hira where he used to worship(Allah Alone) continuously for many 
(days) nights. He used to take with him the journey food for that (stay) and then come back to (his 
wife) Khadija to take his food like-wise again for another period to stay, till suddenly the Truth 
descended upon him while he was in the cave of Hira. The angel came to him in it and asked him to 
read. The Prophet (ﷺ) replied, ""I do not know how to read."" (The Prophet (ﷺ) added), ""The angel caught me 
(forcefully) and pressed me so hard that I could not bear it anymore. He then released me and again 
asked me to read, and I replied, ""I do not know how to read,"" whereupon he caught me again and 
pressed me a second time till I could not bear it anymore. He then released me and asked me again to 
read, but again I replied, ""I do not know how to read (or, what shall I read?)."" Thereupon he caught 
me for the third time and pressed me and then released me and said, ""Read: In the Name of your Lord, 
Who has created (all that exists). Has created man from a clot. Read and Your Lord is Most 
Generous...up to..... ..that which he knew not."" (96.15) 
Then Allah's Messenger (ﷺ) returned with the Inspiration, his neck muscles twitching with terror till he 
entered upon Khadija and said, ""Cover me! Cover me!"" They covered him till his fear was over and 
then he said, ""O Khadija, what is wrong with me?"" Then he told her everything that had happened and 
said, 'I fear that something may happen to me."" Khadija said, 'Never! But have the glad tidings, for by 
Allah, Allah will never disgrace you as you keep good reactions with your Kith and kin, speak the 
truth, help the poor and the destitute, serve your guest generously and assist the deserving, calamityafflicted 
ones."" Khadija then accompanied him to (her cousin) Waraqa bin Naufal bin Asad bin 
`Abdul `Uzza bin Qusai. Waraqa was the son of her paternal uncle, i.e., her father's brother, who 
during the Pre-Islamic Period became a Christian and used to write the Arabic writing and used to 
write of the Gospels in Arabic as much as Allah wished him to write. He was an old man and had lost 
his eyesight. Khadija said to him, ""O my cousin! Listen to the story of your nephew."" Waraqa asked, 
""O my nephew! What have you seen?"" The Prophet (ﷺ) described whatever he had seen. 
Waraqa said, ""This is the same Namus (i.e., Gabriel, the Angel who keeps the secrets) whom Allah 
had sent to Moses. I wish I were young and could live up to the time when your people would turn 
you out."" Allah's Messenger (ﷺ) asked, ""Will they turn me out?"" Waraqa replied in the affirmative and said: 
""Never did a man come with something similar to what you have brought but was treated with 
hostility. If I should remain alive till the day when you will be turned out then I would support you 
strongly."" But after a few days Waraqa died and the Divine Inspiration was also paused for a while 
and the Prophet (ﷺ) became so sad as we have heard that he intended several times to throw himself from 
the tops of high mountains and every time he went up the top of a mountain in order to throw himself 
down, Gabriel would appear before him and say, ""O Muhammad! You are indeed Allah's Messenger (ﷺ) in 
truth"" whereupon his heart would become quiet and he would calm down and would return home. And 
whenever the period of the coming of the inspiration used to become long, he would do as before, but 
when he used to reach the top of a mountain, Gabriel would appear before him and say to him what he 
had said before. (Ibn `Abbas said regarding the meaning of: 'He it is that Cleaves the daybreak (from 
the darkness)' (6.96) that Al-Asbah. means the light of the sun during the day and the light of the 
moon at night).",Salat
bukhari,92,Narrated Asma':,"The Prophet (ﷺ) said, ""I will be at my Lake-Fount (Kauthar) waiting for whoever will come to me. Then 
some people will be taken away from me whereupon I will say, 'My followers!' It will be said, 'You 
do not know they turned Apostates as renegades (deserted their religion).'"" (Ibn Abi Mulaika said, 
""Allah, we seek refuge with You from turning on our heels from the (Islamic) religion and from being 
put to trial"").",Uncategorized
bukhari,93,Narrated Abu Huraira:,"Allah's Messenger (ﷺ) said, ""Whoever obeys me, obeys Allah, and whoever disobeys me, disobeys Allah, 
and whoever obeys the ruler I appoint, obeys me, and whoever disobeys him, disobeys me.""",Uncategorized
bukhari,94,Narrated Abu Huraira:,"I heard Allah's Messenger (ﷺ) saying, ""By Him in Whose Hands my life is! Were it not for some men who 
dislike to be left behind and for whom I do not have means of conveyance, I would not stay away 
(from any Holy Battle). I would love to be martyred in Allah's Cause and come to life and then get, 
martyred and then come to life and then get martyred and then get resurrected and then get martyred.",Uncategorized
bukhari,95,Narrated Malik:,"We came to the Prophet (ﷺ) and we were young men nearly of equal ages and we stayed with him for 
twenty nights. Allah's Messenger (ﷺ) was a very kind man and when he realized our longing for our families, 
he asked us about those whom we had left behind. When we informed him, he said, ""Go back to your 
families and stay with them and teach them (religion) and order them (to do good deeds). The Prophet (ﷺ) 
mentioned things some of which I remembered and some I did not. Then he said, ""Pray as you have 
seen me praying, and when it is the time of prayer, one of you should pronounce the call (Adhan) for 
the prayer and the eldest of you should lead the prayer. """,Salat
bukhari,96,Narrated Tariq bin Shihab:,"A Jew said to `Umar, ""O Chief of the Believers, if this verse: 'This day I have perfected your religion 
for you, completed My favors upon you, and have chosen for you, Islam as your religion.' (5.3) had 
been revealed upon us, we would have taken that day as an `Id (festival) day."" `Umar said, ""I know 
definitely on what day this Verse was revealed; it was revealed on the day of `Arafat, on a Friday.""",Uncategorized
bukhari,97,Narrated Ibn 'Abbas (ra):,The Prophet (ﷺ) sent Mu'adh to Yemen.,Uncategorized
muslim,1,It is narrated on the authority of Yahya b. Ya'mur that the first man who discussedqadr(Divine Decree) in Basra was Ma'bad al-Juhani. I along with Humaid b. 'Abdur-Rahman Himyari set out for pilgrimage or for 'Umrah and said:,"Should it so happen that we come into contact with one of the Companions of the Messenger of Allah (peace be upon him) we shall ask him about what is talked abouttaqdir(Divine Decree). Accidentally we came across Abdullah ibn Umar ibn al-Khattab, while he was entering the mosque. My companion and I surrounded him. One of us (stood) on his right and the other stood on his left. I expected that my companion would authorize me to speak. I therefore said: Abu Abdur Rahman! There have appeared some people in our land who recite the Qur'an and pursue knowledge. And then after talking about their affairs, added: They (such people) claim that there is no such thing as Divine Decree and events are not predestined. He (Abdullah ibn Umar) said: When you happen to meet such people tell them that I have nothing to do with them and they have nothing to do with me. And verily they are in no way responsible for my (belief). Abdullah ibn Umar swore by Him (the Lord) (and said): If any one of them (who does not believe in the Divine Decree) had with him gold equal to the bulk of (the mountain) Uhud and spent it (in the way of Allah), Allah would not accept it unless he affirmed his faith in Divine Decree. He further said: My father, Umar ibn al-Khattab, told me: One day we were sitting in the company of Allah's Apostle (peace be upon him) when there appeared before us a man dressed in pure white clothes, his hair extraordinarily black. There were no signs of travel on him. None amongst us recognized him. At last he sat with the Apostle (peace be upon him) He knelt before him placed his palms on his thighs and said: Muhammad, inform me about al-Islam. The Messenger of Allah (peace be upon him) said: Al-Islam implies that you testify that there is no god but Allah and that Muhammad is the messenger of Allah, and you establish prayer, pay Zakat, observe the fast of Ramadan, and perform pilgrimage to the (House) if you are solvent enough (to bear the expense of) the journey. He (the inquirer) said: You have told the truth. He (Umar ibn al-Khattab) said: It amazed us that he would put the question and then he would himself verify the truth. He (the inquirer) said: Inform me about Iman (faith). He (the Holy Prophet) replied: That you affirm your faith in Allah, in His angels, in His Books, in His Apostles, in the Day of Judgment, and you affirm your faith in the Divine Decree about good and evil. He (the inquirer) said: You have told the truth. He (the inquirer) again said: Inform me about al-Ihsan (performance of good deeds). He (the Holy Prophet) said: That you worship Allah as if you are seeing Him, for though you don't see Him, He, verily, sees you. He (the enquirer) again said: Inform me about the hour (of the Doom). He (the Holy Prophet) remarked: One who is asked knows no more than the one who is inquiring (about it). He (the inquirer) said: Tell me some of its indications. He (the Holy Prophet) said: That the slave-girl will give birth to her mistress and master, that you will find barefooted, destitute goat-herds vying with one another in the construction of magnificent buildings. He (the narrator, Umar ibn al-Khattab) said: Then he (the inquirer) went on his way but I stayed with him (the Holy Prophet) for a long while. He then, said to me: Umar, do you know who this inquirer was? I replied: Allah and His Apostle knows best. He (the Holy Prophet) remarked: He was Gabriel (the angel). He came to you in order to instruct you in matters of religion.",Shahada
muslim,2,Abu Malik at-Ash'ari reported:,"The Messenger of Allah (ﷺ) said: Cleanliness is half of faith and al-Hamdu Lillah (all praise and gratitude is for Allah alone) fills the scale, and Subhan Allah (Glory be to Allah) and al-Hamdu Lillah fill up what is between the heavens and the earth, and prayer is a light, and charity is proof (of one's faith) and endurance is a brightness and the Holy Qur'an is a proof on your behalf or against you. All men go out early in the morning and sell themselves, thereby setting themselves free or destroying themselves.",Shahada
muslim,3,'A'isha reported:,"When anyone amongst us (amongst the wives of the Holy Prophet) menstruated, the Messenger of Allah (ﷺ) asked her to tie a waist-wrapper over her (body) and then embraced her.",Uncategorized
muslim,4,Ibn Umar reported:,"When the Muslims came to Medina, they gathered and sought to know the time of prayer but no one summoned them. One day they discussed the matter, and some of them said: Use something like the bell of the Christians and some of them said: Use horn like that of the Jews. Umar said: Why may not a be appointed who should call (people) to prayer? The Messenger of Allah (ﷺ) said: O Bilal, get up and summon (the people) to prayer.",Salat
muslim,5,Abu Dharr reported:,"I said: Messenger of Allah, which mosque was set up first on the earth? He said: Al-Masjid al-Haram (the sacred). I (again) said: Then which next? He said: It was the Masjid Aqsa. I (again) said: How long the space of time (between their setting up)? He (the Holy Prophet) said: It was forty years. And whenever the time comes for prayer, pray there, for that is a mosque; and in the hadith transmitted by Abu Kamil (the words are):"" Whenever time comes for prayer, pray, for that is a mosque (for you).""",Salat
muslim,6,"'A'isha, the wife of the Messenger of Allah (ﷺ), reported:","The prayer was prescribed as two rak'ahs, two rak'ahs both in journey and at the place of residence. The prayer while travelling remained as it was (originally prescribed), but an addition was made in the prayer (observed) at the place of residence.",Salat
muslim,7,Abdullah is reported to have heard Allah's Messenger (ﷺ) as saying:,"When any one of you intends to come for Jumu'a prayer, he should take a bath.",Salat
muslim,8,Ibn 'Abbas reported:,"I participated in the Fitr prayer with the Messenger of Allah (ﷺ) and Abu Bakr, 'Umar and 'Uthman, and all of them observed this prayer before the Khutba, and then he (the Holy Prophet) delivered the sermon. Then the Messenger of Allah (ﷺ) descended (from the pulpit) and I (perceive) as if I am seeing him as he is commanding people with his hand to sit down. He then made his way through their (assembly) till he came to the women. Bilal was with him. He then recited (this verse): O Prophet, when believing women come to thee giving thee a pledge that they will not associate aught with Allah"" (lx. 12) till he finished (his address to) them and then said: Do you conform to it (what has been described in the verse)? Only one woman among them replied: Yes, Apostle of Allah, but none else replied. He (the narrator) said: It could not be ascertained who actually she was. He (the Holy Prophet) exhorted them to give alms. Bilal stretched his cloth and then said: Come forward with alms. Let my father and mother be taken as ransom for you. And they began to throw rings and ringlets in the cloth of Bilal.",Salat
muslim,9,'Abdullah b. Zaid b. Mazini reported:,The Messenger of Allah (ﷺ) went to the place of prayer and prayed for rain and turned round his mantle while facing the Qibla.,Salat
muslim,10,"'A'isha reported that there was a solar eclipse in the time of the Messenger of Allah (ﷺ). He stood up to pray and prolonged his stand very much. He then bowed and prolonged very much his bowing. He then raised his head and prolonged his stand much, but it was less than the (duration) of the first stand. He then bowed and prolonged bowing much, but it was less than the duration of his first bowing. He then prostrated and then stood up and prolonged the stand, but it was less than the first stand. He then bowed and prolonged his bowing, but it was less than the first bowing. He then lifted his head and then stood up and prolonged his stand, but it was less than the first stand. He then bowed and prolonged bowing and it was less than the first bowing. He then prostrated himself; then he turned about, and the sun had become bright, and he addressed the people. He praised Allah and landed Him and said:","The sun and the moon are two signs of Allah; they are not eclipsed on account of anyones death or on account of anyone's birth. So when you see them, glorify and supplicate Allah, observe prayer, give alms. O Ummah of Muhammad, none is more indignant than Allah When His servant or maid commits fornication. O people of Muhammad, by Allah, if you knew what I know, you would weep much and laugh little.",Salat
muslim,11,Abu Sa'id al-Khudri reported Allah's Messenger (ﷺ) as saying:,"Exhort to recite"" There is no god but Allah"" to those of you who are dying.",Uncategorized
muslim,12,Abu Sa'id al-Khudri reported Allah's Messenger (way peace be upon him) as saying:,"No sadaqa (zakat) is payable on less than five wasqs of (dates or grains), on less than five camel-heads and on less than five uqiyas (of silver).",Uncategorized
muslim,13,Abu Huraira reported Allah's Messenger (ﷺ) as saying:,"When there comes the month of Ramadan, the gates of mercy are opened, and the gates of Hell are locked and the devils are chained,",Sawm
muslim,14,Abdullah b. Umar (Allah be pleased with both of them) reported that the Messenger of Allah (ﷺ) used to observe i'tikaf in the last ten days of Ramadan. Nafi' said:,Ibn 'Umar (Allah be pleased with both of them) reported that the Messenger of Allah (ﷺ) used to observe i'tikaf in the last ten days of Ramadan.,Sawm
muslim,15,Ibn 'Umar (Allah be pleased with them) reported that a person asked the Messenger of Allah (ﷺ) what a Muhrim should put on as dress. Thereupon the Messenger of Allah (ﷺ) said:,"Do not put on a shirt or a turban, or trousers or a cap, or leather stockings except one who does not find shoes; he may put on stockings but he should trim them below the ankles. And do not wear clothes to which saffron or wars is applied.",Uncategorized
muslim,16,'Alqama reported:,"While I was walking with 'Abdullah at Mina, 'Uthman happened to meet him. He stopped there and began to talk with him. Uthman said to him: Abu 'Abd al-Rahman, should we not marry you to a young girl who may recall to you some of the past of your bygone days; thereupon he said: If you say so, Allah's Messenger (ﷺ) said: 0 young men, those among you who can support a wife should marry, for it restrains eyes from casting (evil glances). and preserves one from immorality; but those who cannot should devote themselves to fasting for it is a means of controlling sexual desire.",Sawm
muslim,17,'A'isha (Allah be pleased with her) reported tha Allah's Messenger (ﷺ) was with her and she heard the voice of a person seeking permission to enter the house of Hafsa. 'A'isha (Allah he pleased with her) said:,"Allah's Messenger, he is the person who seeks permission to enter your house, whereupon Allah's Messenger (ﷺ) said: I think he is so and so (uncle of Hafsa by reason of fosterage). 'A'isha said: Messenger of Allah, if so and so (her uncle by reason of fosterage) were alive, could he enter my house? Allah's Messenger (ﷺ) said: Yes. Fosterage makes unlawful what consanguinity makes unlawful.",Uncategorized
muslim,18,"Ibn 'Umar (Allah be pleased with them) reported that he divorced his wife while she was menstruating during the lifetime of Allah's Messenger (ﷺ). 'Umar b. Khattib (Allah be pleased with him) asked Allah's Messenger (ﷺ) about it, whereupon Allah's Messenger (ﷺ) said:","Command him ('Abdullah b. 'Umar) to take her back (and keep her) and pronounce divorce when she is purified and she again enters the period of menstruation and she is again purified (after passing the period of menses), and then if he so desires he may keep her and if he desires divorce her (finally) before touching her (without having an intercourse with her), for that is the period of waiting ('ldda) which God, the Exalted and Glorious, has commanded for the divorce of women.",Uncategorized
muslim,19,"Sahl b. Sa'd al-Sa'idi reported that'Uwaimir al-'Ajlani came to 'Asim b. 'Adi al-Ansari and said to him. Tell me about a person who finds a man with his wife; should he kill him, and be killed In retaliation; or how should he act? 'Asim, ask for me (religious verdict about it) from Allah's Messenger (ﷺ). So 'Asim asked Allah's Messenger (ﷺ) and he did not like this question and he disapproved of it so much that'Asim felt aggrieved at what he had heard from Allah's Messenger (ﷺ). When 'Asim came back to his family, 'Uwaimir came to him and said:","'Asim, what did Allah's Messenger (ﷺ) say to you? 'Asim said to 'Uwaimir: You did not bring something good. Allah's Messenger (ﷺ) did not like this religious verdict that I sought from him. 'Uwaimir said: By Allah, I will not rest until I have asked him about it. 'Uwaimir proceeded until he came to Allah's Messenger (ﷺ) as he was sitting amidst people, and said: Messenger of Allah, tell me about a person who found a man with his wife. Should he kill him, and then you would kill him, or how should he act? Thereupon Allah's Messenger (ﷺ) said: (Verses) have been revealed concerning you and your wife; so go and bring her. Sahl said that they both invoked curses (and further said): I was along with people in the company of Allah's Messenger (ﷺ). And when they had finished, Uwaimir said: Allah's Messenger, I shall have told a lie against her if I keep her (now). So he divorced her with three pronouncements before Allah's Messenger (ﷺ) had commanded him. Ibn Shihab said: Subsequently that was the practice of invokers of curses (al Mutala'inain)",Uncategorized
muslim,20,Ibn Umar (Allah be pleased with them) reported Allah's Messenger may peace be upon him) as saying:,"If anyone emancipates his share ina slave and has enough money to pay the full price for him, a fair price for the slave should be fixed, his partners given their shares, and the slave be thus emancipated, otherwise he is emancipated only to the extent of the first man's share.",Uncategorized
muslim,21,Abu Huraira (Allah be pleased with him) reported:,Abu Huraira (Allah be pleased with him) reported that Allah's Messenger (ﷺ) forbade (two types of transactions) Mulamasa and Munabadha,Uncategorized
muslim,22,Ibn Umar (Allah be pleased with them) reported:,Ibn Umar (Allah be pleased with them) reported that Allah's Messenger (ﷺ) contracted with the people of Khaibar the (trees) on the condition that he would have half the produce in fruits and harvest.,Uncategorized
muslim,23,Usama b. Zaid reported Allah's Messenger (ﷺ) as saying:,"A Muslim is not entitled to inherit from a non-Muslim, and a non-Muslim is not entitled to inherit from a Muslim.",Uncategorized
muslim,24,Umar b. Khattab (Allah be pleased with him) reported:,"I donated a pedigree horse in the path of Allah. Its possessor made it languish. I thought that he would sell it at a cheap price. I asked Allah's Messenger (ﷺ) about it, whereupon he said: Don't buy it and do not get back your charity, for one who gets back the charity is like a dog who swallows its vomit.",Zakat
muslim,25,Ibn Umar (Allah be pleased with them) reported Allah's Messenger (ﷺ) as saying:,It is the duty of a Muslim who has something which is to be given as a bequest not to have it for two nights without having his will written down regarding it.,Uncategorized
muslim,26,Ibn Abbas reported that Sa'd b. Ubida asked Allah's Messenger (ﷺ) for a decision about a vow taken by his mother who had died before fulfilling it. Allah's Messenger (ﷺ) said:,Fulfil it on her behalf.,Uncategorized
muslim,27,'Umar b. al-Khattib reported Allah's Messenger (ﷺ) as saying:,"Allah, the Great and Majestic, forbids you to swear by your fathers. Umar said: By Allah. I have never sworn (by my father) since I heard Allah's Messenger (ﷺ) forbidding it mentioning them"" on my behalf"" nor on behalf of someone else.",Uncategorized
muslim,28,"Sahl b. Abu Hathma and Rafi' b. Khadij reported that 'Abdullah b. Sahl b. Zaid and Muhayyisa b. Mas'ud b. Zaid went out and as they reached Khaibar they were separated. Then Muhayyisa found 'Abdullah b. Sahl having been killed. He buried him, and then came to Allah's Messenger (ﷺ). They were Huwayyisa b. Mas'ud and 'Abd al-Rahman b. Sahl, and he (the latter one) was the youngest of the people (those three who had come to seek an interview with the Holy Prophet) began to talk before his Companions (had spoken). Thereupon Allah's Messenger (ﷺ) said:","The eldest one (eldest in regard to age should speak). So he kept quiet, and his companions (Muhayyisa and Huwayyisa) began to speak, and he ('Abd al Rahman) spoke along with them and they narrated to Allah's Messenger (ﷺ) the murder of 'Abdullah b. Sahl. Thereupon he said to them: Are you prepared to take fifty oaths so that you may be entitled (to blood-wit) of your companion (or your man who has murdered)? They said: How can we take an oath on a matter which we have not witnessed? He (the Holy Prophet) said: Then the Jews will exonerate themselves by fifty oaths. They said: How can we accept the oaths of people who are unbelievers? When Allah's Messenger (ﷺ) saw that, he himself paid his blood-wit.",Uncategorized
muslim,29,'A'isha reported Allah's Messenger (ﷺ) as saying:,'A'isha reported that Allah's Messenger (ﷺ) cut off the hand of a thief for a quarter of a dinar rid upwards.,Uncategorized
muslim,30,Ibn Abbas reported Allah's Apostle (ﷺ) as saying:,"If the people were given according to their claims, they would claim the lives of persons and their properties, but the oath must be taken by the defendant.",Uncategorized
muslim,31,Zaid b. Khalid al-Juhani reported:,"A man came to Allah's Apostle (ﷺ) and asked him about picking up of stray articles. He said: Recognise (well) its bag and the strap (by which it is tied) then make announcement of that for a year. If its owner comes (within this time return that to him), otherwise it is yours. He (again) said: (What about) the lost goat? Thereupon he (the Holy Prophet) said: It is yours or for your brother, or for the wolf. He said: (What about) the lost camel? Thereupon he said: You have nothing to do with it; it has a leather bag along with it, and its shoes also. It comes to the watering-place, eats (the leaves of the) trees until its master finds him.",Uncategorized
muslim,32,Ibn 'Aun reported:,"I wrote to Nafi' inquiring from him whether it was necessary to extend (to the disbelievers) an invitation to accept (Islam) before meeting them in fight. He wrote (in reply) to me that it was necessary in the early days of Islam. The Messenger of Allah (ﷺ) made a raid upon Banu Mustaliq while they were unaware and their cattle were having a drink at the water. He killed those who fought and imprisoned others. On that very day, he captured Juwairiya bint al-Harith. Nafi' said that this tradition was related to him by Abdullah b. Umar who (himself) was among the raiding troops.",Uncategorized
muslim,33,It has been narrarted on the authority of Abu Huraira that the Messenger of Allah (ﷺ) said:,"People are subservient to the Quraish: the Muslims among them being subservient to the Muslims among them, and the disbelievers among the people being subservient to the disbelievers among them.",Uncategorized
muslim,34,'Adi b. Hatim reported:,"I said: Messenger of Allah, I set off trained dogs and they catch for me (the game) and I recite the name of Allah over it (I slaughter the game by reciting Bismillah-i-Allah-o-Akbar), whereupon he said: When you set off your trained dogs, if you recited the name of Allah (while setting them off), then eat (the game). I said: Even if they (the trained dogs) kill that (the game)? He (the Holy Prophet) said: Even if these kill, but (on the condition) that no other dog, which you did not set off (along with your dogs), participates (in catching the game). I said to him: I throw Mi'rad, a heavy featherless blunt arrow, for hunting and killing (the game). Thereupon he said: When you throw Mi'rad, and it pierces, then eat, but if it falls flatly (and beats the game to death), then do not eat that.",Uncategorized
